Months,L,M,S,C3,C10,C15,C25,C50,C75,C85,C90,C97,C99.9
0,-0.0631,13.3363,0.09272,11.21278831,11.84738816,12.11787607,12.52935163,13.3363,14.19872328,14.68578894,15.02571116,15.89243778,17.80782203
0.032854209,0.0362,13.3185,0.0936,11.16237151,11.80991728,12.08509823,12.50276168,13.3185,14.18541403,14.67278285,15.01196556,15.87328908,17.75906298
0.065708419,0.1355,13.3006,0.09448,11.11102097,11.77200082,12.05201032,12.4759979,13.3006,14.17190355,14.65948293,14.99786136,15.85366907,17.71031034
0.098562628,0.2347,13.2828,0.09535,11.05909199,11.73396387,12.01891846,12.4493331,13.2828,14.15831409,14.64597052,14.9834529,15.83356823,17.66140642
0.131416837,0.334,13.2649,0.09623,11.00589798,11.69528665,11.98536631,12.42240162,13.2649,14.1446161,14.632312,14.96887366,15.81329012,17.61299417
0.164271048,0.4333,13.247,0.09711,10.95169889,11.65620199,11.9515673,12.39538181,13.247,14.13082466,14.61847702,14.95406285,15.79270011,17.56476484
0.197125257,0.5326,13.2292,0.09799,10.89651663,11.61677877,11.91760133,12.36836413,13.2292,14.11704699,14.60457847,14.93913821,15.77193018,17.51686233
0.229979466,0.6319,13.2113,0.09887,10.84012065,11.57682111,11.88327744,12.34115841,13.2113,14.10307023,14.59039812,14.92387872,15.75075429,17.4690318
0.262833676,0.6142,13.2455,0.09866,10.8769474,11.61201768,11.91801602,12.37544869,13.2455,14.13818182,14.62642423,14.96069633,15.79010245,17.51613232
0.295687885,0.5965,13.2796,0.09845,10.91368781,11.64713289,11.95267225,12.40965257,13.2796,14.17317587,14.66232339,14.99738106,15.82930642,17.56309053
0.328542094,0.5789,13.3137,0.09824,10.9504024,11.68224418,11.98732934,12.44386056,13.3137,14.20815614,14.6981989,15.03403492,15.86846155,17.60997292
0.361396304,0.5612,13.3478,0.09804,10.98690443,11.71721052,12.02186867,12.47799102,13.3478,14.24322118,14.73420927,15.07085992,15.90788597,17.65737569
0.394250513,0.5435,13.3819,0.09783,11.02363335,11.7523447,12.05654762,12.51221573,13.3819,14.27818306,14.77005907,15.10748511,15.94701511,17.70430423
0.427104722,0.5258,13.416,0.09762,11.06035872,11.78748526,12.09123417,12.54644742,13.416,14.31313406,14.80589207,15.14408996,15.98611837,17.75122094
0.459958933,0.5082,13.4501,0.09741,11.09705951,11.82262216,12.12592171,12.58068324,13.4501,14.34807117,14.84170114,15.18066348,16.02517162,17.79805873
0.492813142,0.4947,13.5169,0.09726,11.15850612,11.88513609,12.18903796,12.64487268,13.5169,14.41832038,14.91416465,15.25477584,16.10383849,17.888296
0.525667351,0.482,13.5873,0.09711,11.22279351,11.95076253,12.25536994,12.7124217,13.5873,14.49237358,14.99052648,15.33284437,16.18658249,17.98276654
0.558521561,0.4699,13.6595,0.09697,11.28824939,12.0177772,12.32317509,12.78156398,13.6595,14.56841123,15.06896259,15.41304442,16.2715858,18.07970328
0.59137577,0.4583,13.7325,0.09684,11.35406814,12.0853094,12.3915569,12.85136584,13.7325,14.64537101,15.1483789,15.49426108,16.357685,18.17785554
0.624229979,0.4472,13.8056,0.09671,11.419903,12.15290624,12.46001739,12.92126084,13.8056,14.72241132,15.22785442,15.57551821,16.44376429,18.27580402
0.657084189,0.4365,13.8784,0.09659,11.48520942,12.2200599,12.52806623,12.99078717,13.8784,14.79920551,15.30710672,15.65656526,16.52965786,18.37358372
0.689938398,0.4263,13.9505,0.09647,11.54986751,12.28657181,12.59546991,13.05965668,13.9505,14.87522802,15.38553693,15.73675133,16.61457899,18.47009519
0.722792607,0.4164,14.0216,0.09636,11.61343388,12.35203032,12.66183342,13.12750294,14.0216,14.95026319,15.46298237,15.81595273,16.69851034,18.56558517
0.755646818,0.4069,14.0916,0.09625,11.67603789,12.41650199,12.72719493,13.19431927,14.0916,15.02410436,15.53917334,15.89385471,16.78101871,18.65934351
0.788501027,0.3977,14.1603,0.09615,11.73729574,12.47965163,12.79124178,13.2598291,14.1603,15.09664067,15.61405219,15.97043781,16.86218555,18.75168911
0.821355236,0.3888,14.2276,0.09605,11.79735934,12.54155709,12.85401986,13.32402938,14.2276,15.16766742,15.68735473,16.04539624,16.94159876,18.84197461
0.854209446,0.3802,14.2935,0.09595,11.85622723,12.60221743,12.91552847,13.38691971,14.2935,15.23718471,15.75908096,16.11872984,17.0192574,18.93019568
0.887063655,0.3718,14.3579,0.09586,11.91359603,12.66138369,12.97554362,13.44831598,14.3579,15.30518998,15.82928629,16.19053561,17.09536833,19.01681758
0.919917864,0.3637,14.4208,0.09577,11.96968173,12.71921363,13.03419649,13.50830708,14.4208,15.37158044,15.89780679,16.26060573,17.16960767,19.10124234
0.952772074,0.3558,14.4824,0.09568,12.02467024,12.775893,13.09167396,13.56708289,14.4824,15.43657251,15.96487042,16.32917712,17.24223836,19.18380415
0.985626283,0.3481,14.5422,0.09559,12.07814509,12.83097989,13.14752342,13.62417465,14.5422,15.49963338,16.02992608,16.39568603,17.31266464,19.26383796
1.018480492,0.3406,14.6003,0.09551,12.1299448,12.88438928,13.20169294,13.67958128,14.6003,15.56097252,16.09324551,16.46044777,17.38131322,19.34201666
1.051334703,0.3333,14.6566,0.09543,12.18022653,12.93620326,13.2542321,13.73330236,14.6566,15.62038171,16.15455875,16.52314907,17.44775979,19.41766862
1.084188912,0.3262,14.7112,0.09535,12.229072,12.98650923,13.30523067,13.78543121,14.7112,15.6779677,16.21397615,16.58390269,17.51212296,19.49092366
1.117043121,0.3192,14.7642,0.09527,12.27658434,13.03540491,13.35478527,13.83606411,14.7642,15.73384035,16.27161562,16.64283319,17.57454756,19.56198695
1.149897331,0.3124,14.8157,0.0952,12.32257874,13.08279331,13.40283567,13.88519593,14.8157,15.78820764,16.32774409,16.70024775,17.63544035,19.63146971
1.18275154,0.3058,14.8657,0.09513,12.36729842,13.12884711,13.44952385,13.93292135,14.8657,15.84096608,16.38219881,16.75594195,17.6944897,19.69881994
