Month,L,M,S,SD,P3,P10,P15,P25,P50,P75,P85,P90,P97,P99.9
0,1,34.4618,0.03686,1.27026,32.1,32.8,33.1,33.6,34.5,35.3,35.8,36.1,36.9,38.4
0.229979466,1,35.1634,0.03472,1.22087,32.9,33.6,33.9,34.3,35.2,36,36.4,36.7,37.5,38.9
0.459958932,1,35.8649,0.03258,1.16848,33.7,34.4,34.7,35.1,35.9,36.7,37.1,37.4,38.1,39.5
0.689938398,1,36.5216,0.03197,1.1676,34.3,35,35.3,35.7,36.5,37.3,37.7,38,38.7,40.1
0.919917864,1,37.0926,0.03148,1.16768,34.9,35.6,35.9,36.3,37.1,37.9,38.3,38.6,39.3,40.7
1,1,37.2759,0.03133,1.16785,35.1,35.8,36.1,36.5,37.3,38.1,38.5,38.8,39.5,40.9
1.149897331,1,37.601,0.03107,1.16826,35.4,36.1,36.4,36.8,37.6,38.4,38.8,39.1,39.8,41.2
1.379876797,1,38.0609,0.03072,1.16923,35.9,36.6,36.8,37.3,38.1,38.8,39.3,39.6,40.3,41.7
1.609856263,1,38.4824,0.03041,1.17025,36.3,37,37.3,37.7,38.5,39.3,39.7,40,40.7,42.1
2,1,39.1285,0.02997,1.17268,36.9,37.6,37.9,38.3,39.1,39.9,40.3,40.6,41.3,42.8
1.839835729,1,38.8724,0.03014,1.17161,36.7,37.4,37.7,38.1,38.9,39.7,40.1,40.4,41.1,42.5
2.069815195,1,39.2368,0.0299,1.17318,37,37.7,38,38.4,39.2,40,40.5,40.7,41.4,42.9
2.299794661,1,39.5797,0.02969,1.17512,37.4,38.1,38.4,38.8,39.6,40.4,40.8,41.1,41.8,43.2
2.529774127,1,39.9033,0.0295,1.17715,37.7,38.4,38.7,39.1,39.9,40.7,41.1,41.4,42.1,43.5
2.759753593,1,40.2096,0.02933,1.17935,38,38.7,39,39.4,40.2,41,41.4,41.7,42.4,43.9
2.98973306,1,40.5008,0.02918,1.18181,38.3,39,39.3,39.7,40.5,41.3,41.7,42,42.7,44.2
3,1,40.5135,0.02918,1.18218,38.3,39,39.3,39.7,40.5,41.3,41.7,42,42.7,44.2
4,1,41.6317,0.02868,1.194,39.4,40.1,40.4,40.8,41.6,42.4,42.9,43.2,43.9,45.3
5,1,42.5576,0.02837,1.20736,40.3,41,41.3,41.7,42.6,43.4,43.8,44.1,44.8,46.3
6,1,43.3306,0.02817,1.22062,41,41.8,42.1,42.5,43.3,44.2,44.6,44.9,45.6,47.1
7,1,43.9803,0.02804,1.23321,41.7,42.4,42.7,43.1,44,44.8,45.3,45.6,46.3,47.8
8,1,44.53,0.02796,1.24506,42.2,42.9,43.2,43.7,44.5,45.4,45.8,46.1,46.9,48.4
9,1,44.9998,0.02792,1.25639,42.6,43.4,43.7,44.2,45,45.8,46.3,46.6,47.4,48.9
10,1,45.4051,0.0279,1.2668,43,43.8,44.1,44.6,45.4,46.3,46.7,47,47.8,49.3
11,1,45.7573,0.02789,1.27617,43.4,44.1,44.4,44.9,45.8,46.6,47.1,47.4,48.2,49.7
12,1,46.0661,0.02789,1.28478,43.6,44.4,44.7,45.2,46.1,46.9,47.4,47.7,48.5,50
13,1,46.3395,0.02789,1.29241,43.9,44.7,45,45.5,46.3,47.2,47.7,48,48.8,50.3
14,1,46.5844,0.02791,1.30017,44.1,44.9,45.2,45.7,46.6,47.5,47.9,48.3,49,50.6
15,1,46.806,0.02792,1.30682,44.3,45.1,45.5,45.9,46.8,47.7,48.2,48.5,49.3,50.8
16,1,47.0088,0.02795,1.3139,44.5,45.3,45.6,46.1,47,47.9,48.4,48.7,49.5,51.1
17,1,47.1962,0.02797,1.32008,44.7,45.5,45.8,46.3,47.2,48.1,48.6,48.9,49.7,51.3
18,1,47.3711,0.028,1.32639,44.9,45.7,46,46.5,47.4,48.3,48.7,49.1,49.9,51.5
19,1,47.5357,0.02803,1.33243,45,45.8,46.2,46.6,47.5,48.4,48.9,49.2,50,51.7
20,1,47.6919,0.02806,1.33823,45.2,46,46.3,46.8,47.7,48.6,49.1,49.4,50.2,51.8
21,1,47.8408,0.0281,1.34433,45.3,46.1,46.4,46.9,47.8,48.7,49.2,49.6,50.4,52
22,1,47.9833,0.02813,1.34977,45.4,46.3,46.6,47.1,48,48.9,49.4,49.7,50.5,52.2
23,1,48.1201,0.02817,1.35554,45.6,46.4,46.7,47.2,48.1,49,49.5,49.9,50.7,52.3
24,1,48.2515,0.02821,1.36117,45.7,46.5,46.8,47.3,48.3,49.2,49.7,50,50.8,52.5
