Month,L,M,S,C3,C10,C15,C25,C50,C75,C85,C90,C97,C99.9
0,1,49.8842,0.03795,46.32365948,47.45808782,47.92212236,48.60731982,49.8842,51.16108018,51.84627764,52.31031218,53.44474052,55.73433544
1,1,54.7244,0.03557,51.06334702,52.22979976,52.70693379,53.41147406,54.7244,56.03732594,56.74186621,57.21900024,58.38545298,60.73968214
2,1,58.4249,0.03424,54.66243149,55.86119636,56.35154757,57.07560445,58.4249,59.77419555,60.49825243,60.98860364,62.18736851,64.60681262
3,1,61.4292,0.03328,57.58417368,58.8092424,59.31035312,60.05029759,61.4292,62.80810241,63.54804688,64.0491576,65.27422632,67.74675899
4,1,63.886,0.03257,59.97250669,61.21938977,61.72942358,62.48254397,63.886,65.28945603,66.04257642,66.55261023,67.79949331,70.31605347
5,1,65.9026,0.03204,61.93126799,63.19657913,63.71415089,64.47840187,65.9026,67.32679813,68.09104911,68.60862087,69.87393201,72.42768517
6,1,67.6236,0.03165,63.598162,64.88071192,65.40533515,66.1799984,67.6236,69.0672016,69.84186485,70.36648808,71.649038,74.23758385
7,1,69.1645,0.03139,65.08115855,66.38215716,66.91432677,67.70013307,69.1645,70.62886693,71.41467323,71.94684284,73.24784145,75.87362195
8,1,70.5994,0.03124,66.4512622,67.77290566,68.31351998,69.11179582,70.5994,72.08700418,72.88528002,73.42589434,74.7475378,77.4149854
9,1,71.9687,0.03117,67.74958269,69.09384102,69.6437059,70.45564117,71.9687,73.48175883,74.2936941,74.84355898,76.18781731,78.90090806
10,1,73.2812,0.03118,68.98375998,70.35297281,70.91304525,71.7400531,73.2812,74.8223469,75.64935475,76.20942719,77.57864002,80.34209595
11,1,74.5388,0.03125,70.15779692,71.55363388,72.12459684,72.96768573,74.5388,76.10991427,76.95300316,77.52396612,78.91980308,81.73699399
12,1,75.7488,0.03137,71.27958327,72.70352609,73.28598567,74.14605057,75.7488,77.35154943,78.21161433,78.79407391,80.21801673,83.09193317
13,1,76.9186,0.03154,72.35577093,73.8095397,74.40419949,75.28227934,76.9186,78.55492066,79.43300051,80.0276603,81.48142907,84.41554265
14,1,78.0497,0.03174,73.39041474,74.87491554,75.48214618,76.37878824,78.0497,79.72061176,80.61725382,81.22448446,82.70898526,85.7051247
15,1,79.1458,0.03197,74.38684444,75.90310132,76.52332169,77.4391445,79.1458,80.8524555,81.76827831,82.38849868,83.90475556,86.96498769
16,1,80.2113,0.03222,75.35056179,76.89924777,77.53273317,78.46814324,80.2113,81.95445676,82.88986683,83.52335223,85.07203821,88.19772136
17,1,81.2487,0.0325,76.28230884,77.86465704,78.51191187,79.467654,81.2487,83.029746,83.98548813,84.63274296,86.21509116,89.40871412
18,1,82.2587,0.03279,77.18570542,78.80201867,79.4631668,80.43942391,82.2587,84.07797609,85.0542332,85.71538133,87.33169458,90.59386856
19,1,83.2418,0.0331,78.05964264,79.71073638,80.38611137,81.38337598,83.2418,85.10022402,86.09748863,86.77286362,88.42395736,91.75632814
20,1,84.1996,0.03342,78.90713964,80.59337716,81.28312761,82.30161914,84.1996,86.09758086,87.11607239,87.80582284,89.49206036,92.89536115
21,1,85.1348,0.03376,79.72911546,81.45142748,82.15593409,83.19621471,85.1348,87.07338529,88.11366591,88.81817252,90.54048454,94.0165938
22,1,86.0477,0.0341,80.52902542,82.28733735,83.00656961,84.06859425,86.0477,88.02680575,89.08883039,89.80806265,91.56637458,95.11514174
23,1,86.941,0.03445,81.30780224,83.10260254,83.83676027,84.92082398,86.941,88.96117602,90.04523973,90.77939746,92.57419776,96.1966087
24,1,87.8161,0.03479,82.07004585,83.90080347,84.64966943,85.75545145,87.8161,89.87674855,90.98253057,91.73139653,93.56215415,97.25713707
24,1,87.1161,0.03507,81.36997154,83.20075283,83.94962848,85.0554248,87.1161,89.1767752,90.28257152,91.03144717,92.86222846,96.55725916
25,1,87.972,0.03542,82.11150685,83.97872602,84.74250648,85.87031136,87.972,90.07368864,91.20149352,91.96527398,93.83249315,97.60106572
26,1,88.8065,0.03576,82.8336253,84.7366505,85.5150773,86.66450911,88.8065,90.94849089,92.0979227,92.8763495,94.7793747,98.6202139
27,1,89.6197,0.0361,83.53482266,85.47353317,86.26655694,87.43754276,89.6197,91.80185724,92.97284306,93.76586683,95.70457734,99.61743949
28,1,90.412,0.03642,84.21891333,86.19210055,86.99922691,88.19103675,90.412,92.63296325,93.82477309,94.63189945,96.60508667,100.5875325
29,1,91.1828,0.03674,84.88203595,86.8895304,87.71069003,88.92322152,91.1828,93.44237848,94.65490997,95.4760696,97.48356405,101.5352515
30,1,91.9327,0.03704,85.52824566,87.568777,88.40345028,89.63593613,91.9327,94.22946387,95.46194972,96.296623,98.33715434,102.4555195
31,1,92.6631,0.03733,86.1572214,88.23006765,89.07795925,90.32996338,92.6631,94.99623662,96.24824075,97.09613235,99.1689786,103.3525644
32,1,93.3753,0.03761,86.77024431,88.8746895,89.73550655,91.00659652,93.3753,95.74400348,97.01509345,97.8759105,99.98035569,104.227717
33,1,94.0711,0.03787,87.37082439,89.50560772,90.37883449,91.66824877,94.0711,96.47395123,97.76336551,98.63659228,100.7713756,105.0799678
34,1,94.7532,0.03812,87.95978856,90.12424602,91.00961091,92.31694843,94.7532,97.18945157,98.49678909,99.38215398,101.5466114,105.9150943
35,1,95.4236,0.03836,88.53905036,90.73254547,91.62978813,92.95466447,95.4236,97.89253553,99.21741187,100.1146545,102.3081496,106.7352387
36,1,96.0835,0.03858,89.11158348,91.33291467,92.24154359,93.58323298,96.0835,98.58376702,99.92545641,100.8340853,103.0554165,107.5386866
37,1,96.7337,0.03879,89.67639772,91.92493377,92.84469076,94.20281196,96.7337,99.26458804,100.6227092,101.5424662,103.7910023,108.3291794
38,1,97.3749,0.039,90.23235851,92.50805273,93.43891869,94.81344349,97.3749,99.93635651,101.3108813,102.2417473,104.5174415,109.1104314
39,1,98.0073,0.03919,90.78334838,93.08498079,94.02645669,95.41664821,98.0073,100.5979518,101.9881433,102.9296192,105.2312516,109.8765921
40,1,98.631,0.03937,91.32768569,93.65460395,94.60642295,96.01188719,98.631,101.2501128,102.6555771,103.607396,105.9343143,110.6306887
41,1,99.2459,0.03954,91.86532191,94.21685728,95.17874583,96.59907887,99.2459,101.8927211,103.3130542,104.2749427,106.6264781,111.3725367
42,1,99.8515,0.03971,92.3939595,94.77001596,95.74193479,97.17707862,99.8515,102.5259214,103.9610652,104.932984,107.3090405,112.1045896
43,1,100.4485,0.03986,92.91803334,95.31732489,96.29874797,97.74792586,100.4485,103.1490741,104.598252,105.5796751,107.9789667,112.8214107
44,1,101.0374,0.04002,93.43237955,95.85542478,96.84656423,98.3100894,101.0374,103.7647106,105.2282358,106.2193752,108.6424205,113.5328061
45,1,101.6186,0.04016,93.94307569,96.38858425,97.38891225,98.86600532,101.6186,104.3711947,105.8482877,106.8486158,109.2941243,114.2298472
