Month,L,M,S,C3,C10,C15,C25,C50,C75,C85,C90,C97,C99.9
0,1,49.1477,0.0379,45.64434983,46.76055668,47.21713777,47.89132941,49.1477,50.40407059,51.07826223,51.53484332,52.65105017,54.90386901
1,1,53.6872,0.0364,50.01172665,51.18277389,51.66178728,52.36910263,53.6872,55.00529737,55.71261272,56.19162611,57.36267335,59.72617548
2,1,57.0673,0.03568,53.23770091,54.45785434,54.95695448,55.6939301,57.0673,58.4406699,59.17764552,59.67674566,60.89689909,63.35951132
3,1,59.8029,0.0352,55.8437127,57.1051544,57.62114337,58.3830572,59.8029,61.2227428,61.98465663,62.5006456,63.7620873,66.30803085
4,1,62.0899,0.03486,58.01900891,59.3160407,59.84658769,60.62999802,62.0899,63.54980198,64.33321231,64.8637593,66.16079109,68.77856541
5,1,64.0301,0.03463,59.85969904,61.18843579,61.73195161,62.53451181,64.0301,65.52568819,66.32824839,66.87176421,68.20050096,70.88226481
6,1,65.7311,0.03448,61.4684537,62.82658086,63.38211873,64.20243081,65.7311,67.25976919,68.08008127,68.63561914,69.9937463,72.73482823
7,1,67.2873,0.03441,62.93259325,64.3200519,64.88758774,65.72561611,67.2873,68.84898389,69.68701226,70.2545481,71.64200675,74.44228789
8,1,68.7498,0.0344,64.30173606,65.71893936,66.29864216,67.15463638,68.7498,70.34496362,71.20095784,71.78066064,73.19786394,76.05817814
9,1,70.1435,0.03444,65.59998762,67.04760188,67.63974419,68.51410669,70.1435,71.77289331,72.64725581,73.23939812,74.68701238,77.6087044
10,1,71.4818,0.03452,66.84084447,68.31950521,68.92434699,69.81746165,71.4818,73.14613835,74.03925301,74.64409479,76.12275553,79.10710809
11,1,72.771,0.03464,68.0299191,69.54048091,70.15837173,71.07075471,72.771,74.47124529,75.38362827,76.00151909,77.5120809,80.56081878
12,1,74.015,0.03479,69.1719906,70.71502798,71.34620283,72.27820114,74.015,75.75179886,76.68379717,77.31497202,78.8580094,81.9722921
13,1,75.2176,0.03496,70.27185141,71.84762265,72.4921872,73.44395683,75.2176,76.99124317,77.9430128,78.58757735,80.16334859,83.34369742
14,1,76.3817,0.03514,71.33355039,72.94194776,73.59985792,74.5713338,76.3817,78.1920662,79.16354208,79.82145224,81.42984961,84.6760471
15,1,77.5099,0.03534,72.3580304,73.99947412,74.6709018,75.66233777,77.5099,79.35746223,80.3488982,81.02032588,82.6617696,85.97466392
16,1,78.6055,0.03555,73.34976233,75.02429959,75.70926408,76.72068863,78.6055,80.49031137,81.50173592,82.18670041,83.86123767,87.24092403
17,1,79.671,0.03576,74.31255326,76.01981479,76.71816504,77.74935512,79.671,81.59264488,82.62383496,83.32218521,85.02944674,88.47517987
18,1,80.7079,0.03598,75.24631941,76.98644055,77.69823192,78.74926929,80.7079,82.66653071,83.71756808,84.42935945,86.16948059,89.68153363
19,1,81.7182,0.0362,76.15443853,77.92711565,78.65222395,79.7229252,81.7182,83.7134748,84.78417605,85.50928435,87.28196147,90.85972162
20,1,82.7036,0.03643,77.03697171,78.84242335,79.58093798,80.67143513,82.7036,84.73576487,85.82626202,86.56477665,88.37022829,92.01413665
21,1,83.6654,0.03666,77.89667957,79.73465892,80.48647891,81.59662287,83.6654,85.73417713,86.84432109,87.59614108,89.43412043,93.14367884
22,1,84.604,0.03688,78.73555621,80.60530855,81.37012518,82.4994601,84.604,86.7085399,87.83787482,88.60269145,90.47244379,94.246129
23,1,85.5202,0.03711,79.55121067,81.45299795,82.23091838,83.37960249,85.5202,87.66079751,88.80948162,89.58740205,91.48918933,95.32753004
24,1,86.4153,0.03734,80.3464543,82.28005694,83.07099136,84.23889202,86.4153,88.59170798,89.75960864,90.55054306,92.4841457,96.38669876
24,1,85.7153,0.03764,79.64725065,81.58059957,82.37143019,83.5391776,85.7153,87.8914224,89.05916981,89.85000043,91.78334935,95.68539032
25,1,86.5904,0.03786,80.42457072,82.38907343,83.19264742,84.37921179,86.5904,88.80158821,89.98815258,90.79172657,92.75622928,96.72114733
26,1,87.4462,0.03808,81.18324889,83.1786957,83.99492729,85.20018198,87.4462,89.69221802,90.89747271,91.7137043,93.70915111,97.73652307
27,1,88.283,0.0383,81.92358749,83.94976799,84.77857111,86.00238902,88.283,90.56361098,91.78742889,92.61623201,94.64241251,98.73181368
28,1,89.1004,0.03851,82.64691489,84.70306798,85.54413129,86.78605273,89.1004,91.41474727,92.65666871,93.49773202,95.55388511,99.70377939
29,1,89.8991,0.03872,83.35225841,85.43815593,86.29138611,87.55127325,89.8991,92.24692675,93.50681389,94.36004407,96.44594159,100.6558685
30,1,90.6797,0.03893,84.04019628,86.155617,87.02092356,88.29864278,90.6797,93.06075722,94.33847644,95.203783,97.31920372,101.5887167
31,1,91.443,0.03913,84.71321091,86.85739757,87.73447075,89.02956466,91.443,93.85643534,95.15152925,96.02860243,98.17278909,102.5003598
32,1,92.1906,0.03933,85.37111265,87.54387818,88.43264147,89.74499709,92.1906,94.63620291,95.94855853,96.83732182,99.01008735,103.3953383
33,1,92.9239,0.03952,86.01696284,88.21759087,89.11775122,90.44693586,92.9239,95.40086414,96.73004878,97.63020913,99.83083716,104.2723224
34,1,93.6444,0.03971,86.65044492,88.87879784,89.79029898,91.13622952,93.6444,96.15257048,97.49850102,98.41000216,100.6383551,105.135797
35,1,94.3533,0.03989,87.27445716,89.52985627,90.45242058,91.81468709,94.3533,96.89191291,98.25417942,99.17674373,101.4321428,105.9841715
36,1,95.0515,0.04006,87.88988352,90.17165525,91.10500719,92.48320282,95.0515,97.61979718,98.99799281,99.93134475,102.2131165,106.8183725
37,1,95.7399,0.04024,88.49400424,90.8026283,91.74696411,93.14137861,95.7399,98.33842139,99.73283589,100.6771717,102.9857958,107.6452473
38,1,96.4187,0.04041,89.09060211,91.42541669,92.38046566,93.7906993,96.4187,99.0467007,100.4569343,101.4119833,103.7467979,108.4591093
39,1,97.0885,0.04057,89.68027884,92.0406216,93.00611279,94.43176551,97.0885,99.74523449,101.1708872,102.1363784,104.4967212,109.2605556
40,1,97.7493,0.04073,90.26124189,92.6470216,93.6229177,95.0639344,97.7493,100.4346656,101.8756823,102.8515784,105.2373581,110.0525315
41,1,98.4015,0.04089,90.83386862,93.24500127,94.23126792,95.68759786,98.4015,101.1154021,102.5717321,103.5579987,105.9691314,110.8354741
42,1,99.0448,0.04105,91.39788996,93.83428169,94.83088048,96.30246697,99.0448,101.787133,103.2587195,104.2553183,106.69171,111.6090326
43,1,99.6795,0.0412,91.95546546,94.41642993,95.42308012,96.9095086,99.6795,102.4494914,103.9359199,104.9425701,107.4035345,112.3704518
44,1,100.3058,0.04135,92.50493611,94.99037927,96.00704241,97.50825607,100.3058,103.1033439,104.6045576,105.6212207,108.1066639,113.122986
45,1,100.9238,0.0415,93.04640123,95.55622926,96.58286696,98.09880915,100.9238,103.7487908,105.264733,106.2913707,108.8011988,113.8667365
46,1,101.5337,0.04164,93.58196179,96.11547521,97.15180134,98.68204956,101.5337,104.3853504,105.9155987,106.9519248,109.4854382,114.5987797
47,1,102.136,0.04179,94.1082774,96.66600031,97.71222926,99.25710006,102.136,105.0148999,106.5597707,107.6059997,110.1637226,115.3259256
48,1,102.7312,0.04193,94.62964539,97.21089201,98.26674326,99.82582244,102.7312,105.6365776,107.1956567,108.251508,110.8327546,116.042435
49,1,103.3197,0.04206,95.1464733,97.75055545,98.81574751,100.3886194,103.3197,106.2507806,107.8236525,108.8888445,111.4929267,116.7486957
50,1,103.9021,0.0422,95.65544329,98.28292107,99.35768304,100.944686,103.9021,106.859514,108.446517,109.5212789,112.1487567,117.4517446
51,1,104.4786,0.04233,96.16064143,98.81083678,99.89489131,101.4956157,104.4786,107.4615843,109.0623087,110.1463632,112.7965586,118.1453969
52,1,105.0494,0.04246,96.66031285,99.33317057,100.4264951,102.0409076,105.0494,108.0578924,109.6723049,110.7656294,113.4384872,118.8330645
53,1,105.6148,0.04259,97.1547377,99.8502089,100.9527834,102.5808545,105.6148,108.6487455,110.2768166,111.3793911,114.0748623,119.51508
54,1,106.1748,0.04272,97.64391994,100.3619545,101.4737584,103.1154579,106.1748,109.2341421,110.8758416,111.9876455,114.7056801,120.1914369
55,1,106.7295,0.04285,98.12795548,100.8685045,101.989518,103.6448162,106.7295,109.8141838,111.469482,112.5904955,115.3310445,120.862242
56,1,107.2788,0.04298,98.60675629,101.3697672,102.4999685,104.1688338,107.2788,110.3887662,112.0576315,113.1878328,115.9508437,121.5273755
