Month,L,M,S,SD,P3,P10,P15,P25,P50,P75,P85,P90,P97,P99.9
0,1,49.8842,0.03795,1.8931,46.3,47.5,47.9,48.6,49.9,51.2,51.8,52.3,53.4,55.7
0.229979466,1,51.1152,0.03723,1.903,47.5,48.7,49.1,49.8,51.1,52.4,53.1,53.6,54.7,57
0.459958932,1,52.3461,0.03652,1.9117,48.8,49.9,50.4,51.1,52.3,53.6,54.3,54.8,55.9,58.3
0.689938398,1,53.3905,0.03609,1.9269,49.8,50.9,51.4,52.1,53.4,54.7,55.4,55.9,57,59.3
0.919917864,1,54.3881,0.0357,1.9417,50.7,51.9,52.4,53.1,54.4,55.7,56.4,56.9,58,60.4
1,1,54.7244,0.03557,1.9465,51.1,52.2,52.7,53.4,54.7,56,56.7,57.2,58.4,60.7
1.149897331,1,55.3374,0.03534,1.9556,51.7,52.8,53.3,54,55.3,56.7,57.4,57.8,59,61.4
1.379876797,1,56.2357,0.03501,1.9688,52.5,53.7,54.2,54.9,56.2,57.6,58.3,58.8,59.9,62.3
1.609856263,1,57.0851,0.0347,1.9809,53.4,54.5,55,55.7,57.1,58.4,59.1,59.6,60.8,63.2
1.839835729,1,57.8889,0.03442,1.9925,54.1,55.3,55.8,56.5,57.9,59.2,60,60.4,61.6,64
2,1,58.4249,0.03424,2.0005,54.7,55.9,56.4,57.1,58.4,59.8,60.5,61,62.2,64.6
2.069815195,1,58.6536,0.03416,2.0036,54.9,56.1,56.6,57.3,58.7,60,60.7,61.2,62.4,64.8
2.299794661,1,59.3872,0.03392,2.0144,55.6,56.8,57.3,58,59.4,60.7,61.5,62,63.2,65.6
2.529774127,1,60.0894,0.03369,2.0244,56.3,57.5,58,58.7,60.1,61.5,62.2,62.7,63.9,66.3
2.759753593,1,60.7605,0.03348,2.0343,56.9,58.2,58.7,59.4,60.8,62.1,62.9,63.4,64.6,67
2.98973306,1,61.4013,0.03329,2.044,57.6,58.8,59.3,60,61.4,62.8,63.5,64,65.2,67.7
3,1,61.4292,0.03328,2.0444,57.6,58.8,59.3,60.1,61.4,62.8,63.5,64,65.3,67.7
4,1,63.886,0.03257,2.0808,60,61.2,61.7,62.5,63.9,65.3,66,66.6,67.8,70.3
5,1,65.9026,0.03204,2.1115,61.9,63.2,63.7,64.5,65.9,67.3,68.1,68.6,69.9,72.4
6,1,67.6236,0.03165,2.1403,63.6,64.9,65.4,66.2,67.6,69.1,69.8,70.4,71.6,74.2
7,1,69.1645,0.03139,2.1711,65.1,66.4,66.9,67.7,69.2,70.6,71.4,71.9,73.2,75.9
8,1,70.5994,0.03124,2.2055,66.5,67.8,68.3,69.1,70.6,72.1,72.9,73.4,74.7,77.4
9,1,71.9687,0.03117,2.2433,67.7,69.1,69.6,70.5,72,73.5,74.3,74.8,76.2,78.9
10,1,73.2812,0.03118,2.2849,69,70.4,70.9,71.7,73.3,74.8,75.6,76.2,77.6,80.3
11,1,74.5388,0.03125,2.3293,70.2,71.6,72.1,73,74.5,76.1,77,77.5,78.9,81.7
12,1,75.7488,0.03137,2.3762,71.3,72.7,73.3,74.1,75.7,77.4,78.2,78.8,80.2,83.1
13,1,76.9186,0.03154,2.426,72.4,73.8,74.4,75.3,76.9,78.6,79.4,80,81.5,84.4
14,1,78.0497,0.03174,2.4773,73.4,74.9,75.5,76.4,78,79.7,80.6,81.2,82.7,85.7
15,1,79.1458,0.03197,2.5303,74.4,75.9,76.5,77.4,79.1,80.9,81.8,82.4,83.9,87
16,1,80.2113,0.03222,2.5844,75.4,76.9,77.5,78.5,80.2,82,82.9,83.5,85.1,88.2
17,1,81.2487,0.0325,2.6406,76.3,77.9,78.5,79.5,81.2,83,84,84.6,86.2,89.4
18,1,82.2587,0.03279,2.6973,77.2,78.8,79.5,80.4,82.3,84.1,85.1,85.7,87.3,90.6
19,1,83.2418,0.0331,2.7553,78.1,79.7,80.4,81.4,83.2,85.1,86.1,86.8,88.4,91.8
20,1,84.1996,0.03342,2.814,78.9,80.6,81.3,82.3,84.2,86.1,87.1,87.8,89.5,92.9
21,1,85.1348,0.03376,2.8742,79.7,81.5,82.2,83.2,85.1,87.1,88.1,88.8,90.5,94
22,1,86.0477,0.0341,2.9342,80.5,82.3,83,84.1,86,88,89.1,89.8,91.6,95.1
23,1,86.941,0.03445,2.9951,81.3,83.1,83.8,84.9,86.9,89,90,90.8,92.6,96.2
24,1,87.8161,0.03479,3.0551,82.1,83.9,84.6,85.8,87.8,89.9,91,91.7,93.6,97.3
24,1,87.1161,0.03507,3.0551,81.4,83.2,83.9,85.1,87.1,89.2,90.3,91,92.9,96.6
25,1,87.972,0.03542,3.116,82.1,84,84.7,85.9,88,90.1,91.2,92,93.8,97.6
26,1,88.8065,0.03576,3.1757,82.8,84.7,85.5,86.7,88.8,90.9,92.1,92.9,94.8,98.6
27,1,89.6197,0.0361,3.2353,83.5,85.5,86.3,87.4,89.6,91.8,93,93.8,95.7,99.6
28,1,90.412,0.03642,3.2928,84.2,86.2,87,88.2,90.4,92.6,93.8,94.6,96.6,100.6
29,1,91.1828,0.03674,3.3501,84.9,86.9,87.7,88.9,91.2,93.4,94.7,95.5,97.5,101.5
30,1,91.9327,0.03704,3.4052,85.5,87.6,88.4,89.6,91.9,94.2,95.5,96.3,98.3,102.5
31,1,92.6631,0.03733,3.4591,86.2,88.2,89.1,90.3,92.7,95,96.2,97.1,99.2,103.4
32,1,93.3753,0.03761,3.5118,86.8,88.9,89.7,91,93.4,95.7,97,97.9,100,104.2
33,1,94.0711,0.03787,3.5625,87.4,89.5,90.4,91.7,94.1,96.5,97.8,98.6,100.8,105.1
34,1,94.7532,0.03812,3.612,88,90.1,91,92.3,94.8,97.2,98.5,99.4,101.5,105.9
35,1,95.4236,0.03836,3.6604,88.5,90.7,91.6,93,95.4,97.9,99.2,100.1,102.3,106.7
36,1,96.0835,0.03858,3.7069,89.1,91.3,92.2,93.6,96.1,98.6,99.9,100.8,103.1,107.5
37,1,96.7337,0.03879,3.7523,89.7,91.9,92.8,94.2,96.7,99.3,100.6,101.5,103.8,108.3
38,1,97.3749,0.039,3.7976,90.2,92.5,93.4,94.8,97.4,99.9,101.3,102.2,104.5,109.1
39,1,98.0073,0.03919,3.8409,90.8,93.1,94,95.4,98,100.6,102,102.9,105.2,109.9
40,1,98.631,0.03937,3.8831,91.3,93.7,94.6,96,98.6,101.3,102.7,103.6,105.9,110.6
41,1,99.2459,0.03954,3.9242,91.9,94.2,95.2,96.6,99.2,101.9,103.3,104.3,106.6,111.4
42,1,99.8515,0.03971,3.9651,92.4,94.8,95.7,97.2,99.9,102.5,104,104.9,107.3,112.1
43,1,100.4485,0.03986,4.0039,92.9,95.3,96.3,97.7,100.4,103.1,104.6,105.6,108,112.8
44,1,101.0374,0.04002,4.0435,93.4,95.9,96.8,98.3,101,103.8,105.2,106.2,108.6,113.5
45,1,101.6186,0.04016,4.081,93.9,96.4,97.4,98.9,101.6,104.4,105.8,106.8,109.3,114.2
46,1,102.1933,0.04031,4.1194,94.4,96.9,97.9,99.4,102.2,105,106.5,107.5,109.9,114.9
47,1,102.7625,0.04045,4.1567,94.9,97.4,98.5,100,102.8,105.6,107.1,108.1,110.6,115.6
48,1,103.3273,0.04059,4.1941,95.4,98,99,100.5,103.3,106.2,107.7,108.7,111.2,116.3
49,1,103.8886,0.04073,4.2314,95.9,98.5,99.5,101,103.9,106.7,108.3,109.3,111.8,117
50,1,104.4473,0.04086,4.2677,96.4,99,100,101.6,104.4,107.3,108.9,109.9,112.5,117.6
51,1,105.0041,0.041,4.3052,96.9,99.5,100.5,102.1,105,107.9,109.5,110.5,113.1,118.3
52,1,105.5596,0.04113,4.3417,97.4,100,101.1,102.6,105.6,108.5,110.1,111.1,113.7,119
53,1,106.1138,0.04126,4.3783,97.9,100.5,101.6,103.2,106.1,109.1,110.7,111.7,114.3,119.6
54,1,106.6668,0.04139,4.4149,98.4,101,102.1,103.7,106.7,109.6,111.2,112.3,115,120.3
55,1,107.2188,0.04152,4.4517,98.8,101.5,102.6,104.2,107.2,110.2,111.8,112.9,115.6,121
56,1,107.7697,0.04165,4.4886,99.3,102,103.1,104.7,107.8,110.8,112.4,113.5,116.2,121.6
57,1,108.3198,0.04177,4.5245,99.8,102.5,103.6,105.3,108.3,111.4,113,114.1,116.8,122.3
58,1,108.8689,0.0419,4.5616,100.3,103,104.1,105.8,108.9,111.9,113.6,114.7,117.4,123
59,1,109.417,0.04202,4.5977,100.8,103.5,104.7,106.3,109.4,112.5,114.2,115.3,118.1,123.6
60,1,109.9638,0.04214,4.6339,101.2,104,105.2,106.8,110,113.1,114.8,115.9,118.7,124.3
