Month,L,M,S,SD,P3,P10,P15,P25,P50,P75,P85,P90,P97,P99.9
0,1,49.1477,0.0379,1.8627,45.6,46.8,47.2,47.9,49.1,50.4,51.1,51.5,52.7,54.9
0.229979466,1,50.3298,0.03742,1.8833,46.8,47.9,48.4,49.1,50.3,51.6,52.3,52.7,53.9,56.1
0.459958932,1,51.512,0.03694,1.9029,47.9,49.1,49.5,50.2,51.5,52.8,53.5,54,55.1,57.4
0.689938398,1,52.4695,0.03669,1.9251,48.8,50,50.5,51.2,52.5,53.8,54.5,54.9,56.1,58.4
0.919917864,1,53.3809,0.03647,1.9468,49.7,50.9,51.4,52.1,53.4,54.7,55.4,55.9,57,59.4
1,1,53.6872,0.0364,1.9542,50,51.2,51.7,52.4,53.7,55,55.7,56.2,57.4,59.7
1.149897331,1,54.2454,0.03627,1.9675,50.5,51.7,52.2,52.9,54.2,55.6,56.3,56.8,57.9,60.3
1.379876797,1,55.0642,0.03609,1.9873,51.3,52.5,53,53.7,55.1,56.4,57.1,57.6,58.8,61.2
1.609856263,1,55.8406,0.03593,2.0064,52.1,53.3,53.8,54.5,55.8,57.2,57.9,58.4,59.6,62
1.839835729,1,56.5767,0.03578,2.0243,52.8,54,54.5,55.2,56.6,57.9,58.7,59.2,60.4,62.8
2,1,57.0673,0.03568,2.0362,53.2,54.5,55,55.7,57.1,58.4,59.2,59.7,60.9,63.4
2.069815195,1,57.2761,0.03564,2.0413,53.4,54.7,55.2,55.9,57.3,58.7,59.4,59.9,61.1,63.6
2.299794661,1,57.9436,0.03552,2.0582,54.1,55.3,55.8,56.6,57.9,59.3,60.1,60.6,61.8,64.3
2.529774127,1,58.5816,0.0354,2.0738,54.7,55.9,56.4,57.2,58.6,60,60.7,61.2,62.5,65
2.759753593,1,59.1922,0.0353,2.0895,55.3,56.5,57,57.8,59.2,60.6,61.4,61.9,63.1,65.6
2.98973306,1,59.7773,0.0352,2.1042,55.8,57.1,57.6,58.4,59.8,61.2,62,62.5,63.7,66.3
3,1,59.8029,0.0352,2.1051,55.8,57.1,57.6,58.4,59.8,61.2,62,62.5,63.8,66.3
4,1,62.0899,0.03486,2.1645,58,59.3,59.8,60.6,62.1,63.5,64.3,64.9,66.2,68.8
5,1,64.0301,0.03463,2.2174,59.9,61.2,61.7,62.5,64,65.5,66.3,66.9,68.2,70.9
6,1,65.7311,0.03448,2.2664,61.5,62.8,63.4,64.2,65.7,67.3,68.1,68.6,70,72.7
7,1,67.2873,0.03441,2.3154,62.9,64.3,64.9,65.7,67.3,68.8,69.7,70.3,71.6,74.4
8,1,68.7498,0.0344,2.365,64.3,65.7,66.3,67.2,68.7,70.3,71.2,71.8,73.2,76.1
9,1,70.1435,0.03444,2.4157,65.6,67,67.6,68.5,70.1,71.8,72.6,73.2,74.7,77.6
10,1,71.4818,0.03452,2.4676,66.8,68.3,68.9,69.8,71.5,73.1,74,74.6,76.1,79.1
11,1,72.771,0.03464,2.5208,68,69.5,70.2,71.1,72.8,74.5,75.4,76,77.5,80.6
12,1,74.015,0.03479,2.575,69.2,70.7,71.3,72.3,74,75.8,76.7,77.3,78.9,82
13,1,75.2176,0.03496,2.6296,70.3,71.8,72.5,73.4,75.2,77,77.9,78.6,80.2,83.3
14,1,76.3817,0.03514,2.6841,71.3,72.9,73.6,74.6,76.4,78.2,79.2,79.8,81.4,84.7
15,1,77.5099,0.03534,2.7392,72.4,74,74.7,75.7,77.5,79.4,80.3,81,82.7,86
16,1,78.6055,0.03555,2.7944,73.3,75,75.7,76.7,78.6,80.5,81.5,82.2,83.9,87.2
17,1,79.671,0.03576,2.849,74.3,76,76.7,77.7,79.7,81.6,82.6,83.3,85,88.5
18,1,80.7079,0.03598,2.9039,75.2,77,77.7,78.7,80.7,82.7,83.7,84.4,86.2,89.7
