Month,L,M,S,P3,P10,P15,P25,P50,P75,P85,P90,P97,P99.9
0,0.3487,3.3464,0.14602,2.507275484,2.757620581,2.864533659,3.027282015,3.3464,3.686659175,3.878184073,4.011499373,4.349896497,5.088352726
0.23,0.2776,3.4879,0.14483,2.62755859,2.88273701,2.992101721,3.159028445,3.4879,3.840817133,4.040479177,4.179883776,4.535284122,5.318349275
0.46,0.2581,3.7529,0.14142,2.849024401,3.117140134,3.232035275,3.407397254,3.7529,4.123737734,4.333592343,4.480141937,4.853879765,5.67807439
0.69,0.2442,4.0603,0.13807,3.104884223,3.388462828,3.509930917,3.695274366,4.0603,4.451942524,4.67352524,4.828252094,5.222815576,6.092935672
0.92,0.2331,4.3671,0.13497,3.361636388,3.660297551,3.788159296,3.983191944,4.3671,4.778767146,5.011595252,5.174145046,5.588568125,6.502181118
1.15,0.2237,4.659,0.13215,3.607723878,3.920237873,4.053959518,4.257858738,4.659,5.088879464,5.33190813,5.501543024,5.933913842,6.886654005
1.38,0.2155,4.9303,0.1296,3.838239003,4.163123042,4.302067235,4.513857641,4.9303,5.376300875,5.628338388,5.804222373,6.252394378,7.239451958
1.61,0.2081,5.1817,0.12729,4.053406038,4.389306816,4.532894776,4.751693841,5.1817,5.641957206,5.901946979,6.083341446,6.545427421,7.562616913
1.84,0.2014,5.4149,0.1252,4.254223743,4.59999156,4.747732945,4.972794434,5.4149,5.887847394,6.154904586,6.341191912,6.815616891,7.859458709
2.07,0.1952,5.6319,0.1233,4.442122283,4.796772503,4.94824873,5.178937117,5.6319,6.116216163,6.389597189,6.580259567,7.065707444,8.133314094
2.3,0.1894,5.8346,0.12157,4.618449195,4.981158935,5.136021285,5.371808311,5.8346,6.329196037,6.608290382,6.802903565,7.298299154,8.387325899
2.53,0.184,6.0242,0.12001,4.78386877,5.153971381,5.311938813,5.552400308,6.0242,6.528213514,6.812540347,7.010771256,7.515274019,8.623903494
2.76,0.1789,6.2019,0.1186,4.939285916,5.316201289,5.477030084,5.72179914,6.2019,6.714592769,7.003742427,7.205308086,7.718206771,8.84491468
2.99,0.174,6.369,0.11732,5.085738362,5.468963801,5.632443479,5.881204042,6.369,6.889743023,7.183368227,7.388029491,7.908725715,9.052242598
4,0.1553,7.0023,0.11316,5.63958952,6.04698802,6.220651346,6.484777104,7.0023,7.554286241,7.865343171,8.08208678,8.633306757,9.843037861
5,0.1395,7.5105,0.1108,6.078883522,6.507015599,6.689475369,6.966941283,7.5105,8.090161002,8.416791851,8.644384307,9.22320305,10.49368825
6,0.1257,7.934,0.10958,6.438807244,6.885864159,7.076408252,7.366194763,7.934,8.539706891,8.881110847,9.119041111,9.724323174,11.05382197
7,0.1134,8.297,0.10902,6.742484195,7.207056567,7.405121774,7.706412962,8.297,8.927371337,9.282846153,9.530655639,10.16134281,11.54803217
8,0.1021,8.6151,0.10882,7.005389767,7.486157555,7.691204413,8.00320512,8.6151,9.26867837,9.637451688,9.894622128,10.549467,11.99094121
9,0.0917,8.9014,0.10881,7.239953555,7.73583718,7.947417845,8.269460439,8.9014,9.576899909,9.958273883,10.2243299,10.9021624,12.3960388
10,0.082,9.1649,0.10891,7.4543961,7.964564998,8.182333385,8.513900287,9.1649,9.861312665,10.25473688,10.52930244,11.22919335,12.77356478
11,0.073,9.4122,0.10906,7.654824983,8.178614898,8.402290683,8.742958685,9.4122,10.12866753,10.53366534,10.8164112,11.53753383,13.13064018
12,0.0644,9.6479,0.10925,7.845122131,8.382077041,8.611470292,8.960955584,9.6479,10.38387361,10.80014737,11.0908711,11.83272912,13.47357517
13,0.0563,9.8749,0.10949,8.02743496,8.577323555,8.81234024,9.170504948,9.8749,10.63013579,11.05755949,11.35617813,12.11857845,13.80683066
14,0.0487,10.0953,0.10976,8.20373354,8.766370492,9.006934277,9.373665326,10.0953,10.86958833,11.3080509,11.61449011,12.39725509,14.1325829
15,0.0413,10.3108,0.11007,8.375266234,8.950586059,9.196675629,9.57194814,10.3108,11.10415532,11.5536824,11.86796751,12.67118934,14.45393605
16,0.0343,10.5228,0.11041,8.543261436,9.131260492,9.382878155,9.766700044,10.5228,11.33527784,11.79591107,12.11807554,12.94185593,14.7723302
17,0.0275,10.7319,0.11079,8.708052602,9.308794551,9.565974518,9.958405901,10.7319,11.56369742,12.03556667,12.36570905,13.2103286,15.08929859
18,0.0211,10.9385,0.11119,8.870227863,9.483735788,9.746490882,10.1475547,10.9385,11.78969584,12.27285389,12.61101458,13.47658968,15.40438223
19,0.0148,11.143,0.11164,9.029642441,9.656076354,9.924484528,10.33431046,11.143,12.0139636,12.50864446,12.85499758,13.74201212,15.71989751
20,0.0087,11.3462,0.11211,9.187404557,9.826848383,10.10095091,10.51960813,11.3462,12.23713364,12.74346693,13.09810957,14.00683594,16.03554417
21,0.0029,11.5486,0.11261,9.343706164,9.996334624,10.27621187,10.70382935,11.5486,12.45983342,12.978021,13.3411007,14.27193996,16.35248386
22,-0.0028,11.7504,0.11314,9.498725785,10.16471047,10.45044389,10.88715511,11.7504,12.68229856,13.2125695,13.5842559,14.53767695,16.67127892
23,-0.0083,11.9514,0.11369,9.65243798,10.33190681,10.62355703,11.06946126,11.9514,12.90423535,13.44676015,13.82717962,14.80353233,16.99110848
24,-0.0137,12.1515,0.11426,9.804768677,10.4978368,10.79546027,11.25065193,12.1515,13.12554762,13.68050281,14.06978758,15.0694432,17.31199014
25,-0.0189,12.3502,0.11485,9.955277887,10.66204676,10.965693,11.43025471,12.3502,13.3456991,13.9132376,14.31150212,15.33478142,17.63315861
26,-0.024,12.5466,0.11544,10.10362861,10.82403823,11.13368609,11.60759096,12.5466,13.56354463,14.14367735,14.55093557,15.59789839,17.95236809
27,-0.0289,12.7401,0.11604,10.2491278,10.98314588,11.2987861,11.78202534,12.7401,13.77852116,14.37127935,14.78755907,15.8582993,18.26919081
28,-0.0337,12.9303,0.11664,10.3916705,11.1391782,11.46076414,11.95327162,12.9303,13.99010584,14.59545103,15.0207314,16.11521889,18.58259035
29,-0.0385,13.1169,0.11723,10.53124544,11.29203949,11.61948795,12.12114141,13.1169,14.19787786,14.81570296,15.24991514,16.36799749,18.89163969
30,-0.0431,13.3,0.11781,10.66789829,11.44180271,11.77503936,12.2857267,13.3,14.40192753,15.03211139,15.47517296,16.61664884,19.19616984
31,-0.0476,13.4798,0.11839,10.80162797,11.58851623,11.92749055,12.44713908,13.4798,14.60256584,15.24505753,15.69693833,16.86175178,19.49714277
32,-0.052,13.6567,0.11896,10.93296534,11.73267856,12.07732447,12.60583583,13.6567,14.80012165,15.45482565,15.91546254,17.10346673,19.79448474
33,-0.0564,13.8309,0.11953,11.06190536,11.87433437,12.22460996,12.76192594,13.8309,14.99491034,15.66180472,16.13118953,17.34239139,20.0892035
34,-0.0606,14.0031,0.12008,11.1893739,12.01436657,12.37020531,12.91622301,14.0031,15.18747201,15.86642666,16.34446805,17.57863366,20.38072623
35,-0.0648,14.1736,0.12062,11.31547311,12.15291918,12.51427677,13.06893224,14.1736,15.3782357,16.0692064,16.55587863,17.81296262,20.6703502
36,-0.0689,14.3429,0.12116,11.44037199,12.29025853,12.65713265,13.22042626,14.3429,15.56783864,16.27085887,16.7661904,18.04628532,20.95928306
37,-0.0729,14.5113,0.12168,11.56473953,12.42695815,12.79930194,13.37116187,14.5113,15.75639119,16.47137737,16.97531079,18.27827469,21.24660192
38,-0.0769,14.6791,0.1222,11.68842654,12.56298268,12.94080303,13.52124534,14.6791,15.94443204,16.67145,17.1840384,18.51003463,21.53420611
39,-0.0808,14.8466,0.12271,11.81186131,12.69873544,13.08202521,13.6710406,14.8466,16.13217158,16.87122661,17.39247655,18.74153354,21.82168159
40,-0.0846,15.014,0.12322,11.93498883,12.83423007,13.22301334,13.82064228,15.014,16.31993367,17.07110606,17.6010786,18.97337166,22.10999296
41,-0.0883,15.1813,0.12373,12.0578086,12.96946637,13.36376733,13.97005037,15.1813,16.50771807,17.27108789,17.80984387,19.20554761,22.39913663
42,-0.092,15.3486,0.12425,12.18020753,13.10438031,13.50424775,14.11926724,15.3486,16.69575274,17.47148341,18.01914669,19.43861484,22.69015883
43,-0.0957,15.5158,0.12478,12.30210114,13.23888227,13.6443629,14.26819821,15.5158,16.88393303,17.67218592,18.2288792,19.67246357,22.9829521
44,-0.0993,15.6828,0.12531,12.42360014,13.37303469,13.78415093,14.41684005,15.6828,17.07203188,17.87288549,18.43866881,19.90654318,23.2764765
45,-0.1028,15.8497,0.12586,12.5443227,13.50658219,13.92341491,14.56508997,15.8497,17.2603927,18.07407519,18.64911824,20.14175532,23.57239327
46,-0.1063,16.0163,0.12643,12.66413271,13.63936228,14.06198287,14.71276374,16.0163,17.4488117,18.27555553,18.86003392,20.37793298,23.87065722
47,-0.1097,16.1827,0.127,12.78353232,13.77178073,14.20021341,14.86014118,16.1827,17.63715893,18.4770491,19.07102786,20.61437733,24.16973195
48,-0.1131,16.3489,0.12759,12.90208454,13.90350573,14.33782602,15.00702735,16.3489,17.82568351,18.67896485,19.28262895,20.8519548,24.47139719
49,-0.1165,16.515,0.12819,13.0200962,14.03479039,14.47504883,15.15360992,16.515,18.01437974,18.88123199,19.49471867,21.09041682,24.77507549
50,-0.1198,16.6811,0.1288,13.13760448,14.16569701,14.61195326,15.29997239,16.6811,18.20335389,19.08395474,19.7073973,21.32984377,25.08074904
51,-0.123,16.8471,0.12943,13.25428209,14.29595619,14.74829719,15.44591704,16.8471,18.39262606,19.28722828,19.92081555,21.57053976,25.38912257
52,-0.1262,17.0132,0.13005,13.37104444,14.42629085,14.88471587,15.59193948,17.0132,18.58204945,19.49069623,20.13446504,21.81158799,25.69827429
53,-0.1294,17.1792,0.13069,13.48700356,14.55598875,15.02057964,15.73754454,17.1792,18.77178617,19.69474685,20.34890121,22.05400537,26.01042444
54,-0.1325,17.3452,0.13133,13.60268368,14.68547432,15.15626355,15.88302413,17.3452,18.96168734,19.89907002,20.56369239,22.29701577,26.32385275
55,-0.1356,17.5111,0.13197,13.71804602,14.81468307,15.29169395,16.02829284,17.5111,19.15165115,20.10356987,20.77874997,22.5405618,26.63864207
56,-0.1387,17.6768,0.13261,13.83301377,14.94353131,15.42678418,16.1732595,17.6768,19.34156834,20.30813205,20.99395619,22.78451738,26.95465156
57,-0.1417,17.8422,0.13325,13.94746862,15.07191431,15.56143332,16.31782661,17.8422,19.53132144,20.51262184,21.20916092,23.0286799,27.27148862
58,-0.1447,18.0073,0.13389,14.0614529,15.19985383,15.69565628,16.46200097,18.0073,19.72091802,20.71705858,21.42439516,23.27312378,27.58940165
59,-0.1477,18.1722,0.13453,14.17504654,15.32743542,15.82954109,16.60587451,18.1722,19.91046749,20.92155746,21.63977835,23.51798023,27.90855384
60,-0.1506,18.3366,0.13517,14.28797348,15.45438485,15.96281213,16.74916681,18.3366,20.09963253,21.12575184,21.85491965,23.76278192,28.22822571
61,-0.2026,18.5057,0.12988,14.5800437,15.71123155,16.20418777,16.96656066,18.5057,20.21587616,21.21185934,21.9199669,23.77437059,28.12612481
62,-0.213,18.6802,0.13028,14.71127849,15.85371435,16.35188004,17.12267903,18.6802,20.41294829,21.42311457,22.14176778,24.02559496,28.45649552
63,-0.2234,18.8563,0.13067,14.84396238,15.9976708,16.50106065,17.28031424,18.8563,20.611762,21.63622201,22.3655136,24.27906827,28.79023291
64,-0.2338,19.034,0.13105,14.9780999,16.14310442,16.65173259,17.43946837,19.034,20.81231485,21.85117794,22.59119985,24.53478471,29.12733675
65,-0.2443,19.2132,0.13142,15.11365968,16.28995591,16.80382638,17.60005866,19.2132,21.01450347,22.06788503,22.81873726,24.79269135,29.46793185
66,-0.2548,19.394,0.13178,15.25068341,16.43829241,16.95741809,17.7621724,19.394,21.21842634,22.28643336,23.04820653,25.05283141,29.81190336
67,-0.2653,19.5765,0.13213,15.38925445,16.58820239,17.11259833,17.92590337,19.5765,21.42419024,22.5069337,23.27972146,25.31532734,30.15940312
68,-0.2758,19.7607,0.13246,15.5296509,16.73989451,17.26954272,18.0913729,19.7607,21.63164289,22.72913707,23.5129608,25.57965568,30.50936628
69,-0.2864,19.9468,0.13279,15.67153449,16.89315654,17.42810135,18.25853621,19.9468,21.84130717,22.95377908,23.74882253,25.84718351,30.86451379
70,-0.2969,20.1344,0.13311,15.81477876,17.04781138,17.58806799,18.4271335,20.1344,22.05257629,23.18010752,23.98643975,26.11669916,31.22257212
71,-0.3075,20.3235,0.13342,15.95947847,17.20390928,17.74947766,18.59718148,20.3235,22.26546541,23.40816366,24.22588042,26.38837345,31.5841554
72,-0.318,20.5137,0.13372,16.10523431,17.36106914,17.91195275,18.76830228,20.5137,22.47951441,23.63743444,24.46658557,26.66149407,31.94799778
73,-0.3285,20.7052,0.13402,16.2519715,17.51927533,18.07550837,18.94056467,20.7052,22.69510587,23.86842707,24.7091594,26.93695306,32.31586854
74,-0.339,20.8979,0.13432,16.39961155,17.67844296,18.24005688,19.11387682,20.8979,22.91213164,24.10102937,24.9534873,27.21463158,32.68765834
75,-0.3494,21.0918,0.13462,16.54810713,17.83854727,18.4055812,19.28823077,21.0918,23.13058319,24.33521906,25.19953314,27.49444113,33.06306207
76,-0.3598,21.287,0.13493,16.69729536,17.99947946,18.57200145,19.46359797,21.287,23.35074411,24.57140723,25.44780826,27.77719432,33.44383688
77,-0.3701,21.4833,0.13523,16.84754478,18.16147786,18.73949079,19.64004059,21.4833,23.57206226,24.80880672,25.69734476,28.06139607,33.82693779
78,-0.3804,21.681,0.13554,16.99856064,18.32438452,18.90795952,19.81758494,21.681,23.79520561,25.04833174,25.94924668,28.3487071,34.21569222
79,-0.3906,21.8799,0.13586,17.15013129,18.48799977,19.07721109,19.9960367,21.8799,24.01995085,25.28973679,26.20324874,28.6387943,34.60951473
80,-0.4007,22.08,0.13618,17.30254486,18.65254125,19.24742923,20.17552338,22.08,24.24613447,25.53275261,26.45900184,28.93108127,35.00719567
81,-0.4107,22.2813,0.13652,17.45520591,18.81755786,19.41823262,20.35577975,22.2813,24.47410063,25.77794845,26.71724654,29.22680313,35.41140911
82,-0.4207,22.4837,0.13686,17.60867197,18.98343428,19.58992621,20.53698252,22.4837,24.70341561,26.02468431,26.97719118,29.52475243,35.81988149
83,-0.4305,22.6872,0.13722,17.76223907,19.14966032,19.76208684,20.71884575,22.6872,24.93440872,26.27348586,27.23950274,29.82597193,36.23456004
84,-0.4402,22.8915,0.13759,17.9160126,19.31622823,19.93465631,20.9012322,22.8915,25.16659597,26.52376148,27.50351322,30.12959569,36.65414626
85,-0.4499,23.0968,0.13797,18.07019465,19.48332853,20.10782268,21.08432944,23.0968,25.40021524,26.77578422,27.76952718,30.43603893,37.0795068
86,-0.4594,23.3029,0.13838,18.22390506,19.65026634,20.28097475,21.26765883,23.3029,25.63539122,27.02987442,28.03800669,30.74614446,37.51242695
87,-0.4688,23.5101,0.1388,18.37802842,19.81777548,20.454776,21.45176981,23.5101,25.87211803,27.28583477,28.30861264,31.05918056,37.95114669
88,-0.4781,23.7182,0.13923,18.53240125,19.98568143,20.62904721,21.63647602,23.7182,26.11018236,27.54344547,28.58112138,31.37491727,38.39545614
