Month,L,M,S,P3,P10,P15,P25,P50,P75,P85,P90,P97,P99.9
0,0.3809,3.2322,0.14171,2.440286028,2.677724576,2.778807184,2.932331163,3.2322,3.550349818,3.728756278,3.852667471,4.166233846,4.846078823
0.23,0.2671,3.3388,0.146,2.510355485,2.755689392,2.860937145,3.021694295,3.3388,3.679637141,3.872703139,4.007600632,4.351863192,5.112068676
0.46,0.2304,3.5693,0.14339,2.701858272,2.958268983,3.068385028,3.236720333,3.5693,3.927577288,4.130902815,4.273133897,4.636730754,5.442777136
0.69,0.2024,3.8352,0.1406,2.922508022,3.192063694,3.307877847,3.48499421,3.8352,4.212920859,4.427506122,4.577714386,4.96209094,5.816244895
0.92,0.1789,4.0987,0.13805,3.141820931,3.424280415,3.545670064,3.731358137,4.0987,4.495226821,4.720661508,4.878539848,5.282838886,6.182858664
1.15,0.1582,4.3476,0.13583,3.349630166,3.644098614,3.770674486,3.964332988,4.3476,4.761593272,4.997101049,5.162099551,5.584890298,6.527484268
1.38,0.1395,4.5793,0.13392,3.543584415,3.849075018,3.980413224,4.181393474,4.5793,5.009366475,5.254152187,5.425712585,5.865560142,6.847509
1.61,0.1224,4.795,0.13228,3.724436332,4.040088392,4.175820792,4.383561171,4.795,5.239947868,5.493334763,5.670983302,6.126674889,7.145280428
1.84,0.1065,4.9959,0.13087,3.893056077,4.218100808,4.357900149,4.571903216,4.9959,5.45468965,5.716091519,5.899419567,6.369915459,7.422895928
2.07,0.0918,5.1842,0.12966,4.051068826,4.384910321,4.528522802,4.74840253,5.1842,5.656021286,5.924980147,6.113667912,6.598152292,7.68370569
2.3,0.0779,5.3618,0.12861,4.200077011,4.542203023,4.689411803,4.914839959,5.3618,5.845979065,6.12211814,6.315904344,6.813717519,7.930422396
2.53,0.0648,5.5295,0.1277,4.340681795,4.690641332,4.841255212,5.071942031,5.5295,6.025438512,6.308422256,6.507073775,7.01762547,8.164201312
2.76,0.0525,5.6883,0.12691,4.473681834,4.831086414,4.984940243,5.220634887,5.6883,6.195474842,6.485008448,6.688319835,7.211087488,8.386388535
2.99,0.0407,5.8393,0.12622,4.600030233,4.964530207,5.121476637,5.361956868,5.8393,6.357262561,6.653097398,6.860897221,7.395451798,8.598574335
4,-0.005,6.4237,0.12402,5.08794577,5.480078197,5.649104824,5.908320108,6.4237,6.984280583,7.30510974,7.530756394,8.11234054,9.427326616
5,-0.043,6.8985,0.12274,5.482677745,5.897543661,6.076560509,6.351329301,6.8985,7.495018299,7.83706997,8.077932908,8.699851891,10.11203452
6,-0.0756,7.297,0.12204,5.81185619,6.246242969,6.43388079,6.722120397,7.297,7.925102262,8.285924842,8.540297493,9.198221874,10.69820444
7,-0.1039,7.6422,0.12178,6.094125828,6.546103602,6.741544792,7.042017295,7.6422,8.299351579,8.677533115,8.944439585,9.635921363,11.21855295
8,-0.1288,7.9487,0.12181,6.342189161,6.810402604,7.013072386,7.324907062,7.9487,8.633118486,9.027667707,9.306423987,10.02975323,11.69148398
9,-0.1507,8.2254,0.12199,6.564434397,7.047716505,7.257111284,7.579535186,8.2254,8.935412558,9.345374179,9.635310103,10.38876954,12.12580912
10,-0.17,8.48,0.12223,6.767958637,7.265344932,7.481041775,7.813398029,8.48,9.214114727,9.638618077,9.939114733,10.72108765,12.5297039
11,-0.1872,8.7192,0.12247,6.958852052,7.469569776,7.691225087,8.032974687,8.7192,9.476145074,9.914435924,10.22495211,11.03400589,12.9107939
12,-0.2024,8.9481,0.12268,7.141559474,7.665043129,7.892398929,8.243129695,8.9481,9.726833145,10.17827549,10.49834715,11.33322426,13.2750385
13,-0.2158,9.1699,0.12283,7.319064636,7.854825004,8.087652999,8.446994436,9.1699,9.969430887,10.43340719,10.76257816,11.62202084,13.62559682
14,-0.2278,9.387,0.12294,7.493117293,8.040837875,8.278988907,8.646697336,9.387,10.20666263,10.68275431,11.02071404,11.90386135,13.96694157
15,-0.2384,9.6008,0.12299,7.665123482,8.224500667,8.467827491,8.843657764,9.6008,10.43988105,10.9276294,11.27403318,12.17991241,14.29984978
16,-0.2478,9.8124,0.12303,7.83533547,8.406286008,8.654743721,9.038616187,9.8124,10.67062279,11.16984014,11.52454306,12.452731,14.62830225
17,-0.2562,10.0226,0.12306,8.004425324,8.586898177,8.840457118,9.232317103,10.0226,10.8997571,11.41029959,11.77318934,12.72335367,14.95357614
18,-0.2637,10.2315,0.12309,8.172344441,8.766325315,9.024973438,9.424795352,10.2315,11.12746574,11.64924129,12.02024412,12.99215986,15.27633421
19,-0.2703,10.4393,0.12315,8.338798969,8.944403349,9.20818849,9.616043128,10.4393,11.35419877,11.88726951,12.26642491,13.26017696,15.59839855
20,-0.2762,10.6464,0.12323,8.50426546,9.12158423,9.3905441,9.806487375,10.6464,11.58033152,12.12474791,12.51208831,13.52774813,15.92010962
21,-0.2815,10.8534,0.12335,8.668913776,9.298148036,9.572371925,9.996543673,10.8534,11.8066916,12.3626473,12.75831159,13.7962472,16.24363372
22,-0.2862,11.0608,0.1235,8.833259012,9.474610563,9.75418677,10.18672376,11.0608,12.03375746,12.60142953,13.00554301,14.06607982,16.56923749
23,-0.2903,11.2688,0.12369,8.997270135,9.651002135,9.936047071,10.37713113,11.2688,12.26184447,12.84148082,13.25422071,14.33782601,16.89786387
24,-0.2941,11.4775,0.1239,9.161376884,9.827654715,10.11824274,10.56799153,11.4775,12.49092015,13.08269561,13.50418918,14.61120774,17.22899997
25,-0.2975,11.6864,0.12414,9.324972365,10.0039911,10.30020988,10.75876193,11.6864,12.72053289,13.32465045,13.75504484,14.88587271,17.5624058
26,-0.3005,11.8947,0.12441,9.487388404,10.179305,10.48122565,10.94869393,11.8947,12.94982529,13.56645436,14.00587277,15.16084287,17.89695196
27,-0.3032,12.1015,0.12472,9.647732949,10.35269132,10.66038197,11.13687816,12.1015,13.1779263,13.80726206,14.25584998,15.43536906,18.2321491
28,-0.3057,12.3059,0.12506,9.805451067,10.52349624,10.83698178,11.32255044,12.3059,13.40378507,14.04593513,14.50377597,15.70808924,18.56626478
29,-0.308,12.5073,0.12545,9.95969241,10.69092864,11.0102631,11.50499779,12.5073,13.62694849,14.28211604,14.74936557,15.97892473,18.89979816
30,-0.3101,12.7055,0.12587,10.11061534,10.85505505,11.18024946,11.68417381,12.7055,13.84702704,14.51529605,14.99202142,16.24703116,19.2312436
