Height,L,M,S,C3,C10,C15,C25,C50,C75,C85,C90,C97,C99.9
65,-0.3521,7.4327,0.08217,6.394272057,6.702558946,6.834459263,7.035721182,7.4327,7.860576249,8.103984837,8.274646186,8.71284032,9.697715252
65.5,-0.3521,7.5504,0.08214,6.495875705,6.808949267,6.942895452,7.147276705,7.5504,7.984887065,8.232051047,8.405343162,8.850283778,9.850279858
66,-0.3521,7.6673,0.08212,6.596684238,6.914540556,7.050531582,7.258031334,7.6673,8.108402507,8.35932616,8.535252735,8.986951887,10.00210917
66.5,-0.3521,7.7834,0.08212,6.696572731,7.019242101,7.157292334,7.367934095,7.7834,8.231181781,8.485904977,8.664495473,9.123034356,10.15356338
67,-0.3521,7.8986,0.08213,6.795565675,7.123043983,7.263152396,7.47693543,7.8986,8.35306674,8.611594574,8.79285335,9.258246063,10.30419319
67.5,-0.3521,8.0132,0.08214,6.894038885,7.226302218,7.368458603,7.585367357,8.0132,8.474318847,8.736632688,8.920546703,9.39275985,10.45405046
68,-0.3521,8.1272,0.08217,6.991742955,7.328835695,7.473060573,7.693128094,8.1272,8.595056344,8.861208655,9.047816337,9.526954653,10.60385478
68.5,-0.3521,8.241,0.08221,7.089138057,7.431089389,7.577396078,7.800643631,8.241,8.715647261,8.985670543,9.174995572,9.661123154,10.75379351
69,-0.3521,8.3547,0.08226,7.186305044,7.533149709,7.681553939,7.908006502,8.3547,8.836199834,9.11013136,9.302200799,9.795390569,10.9040124
69.5,-0.3521,8.468,0.08231,7.283110635,7.634836755,7.785333554,8.014983665,8.468,8.956337626,9.234169269,9.428977538,9.929215608,11.05375994
70,-0.3521,8.5808,0.08237,7.379337312,7.735964852,7.888563672,8.121426781,8.5808,9.076017262,9.357775139,9.555341528,10.06268104,11.2032856
70.5,-0.3521,8.6927,0.08243,7.474769441,7.8362666,7.990953963,8.227009656,8.6927,9.194754788,9.480415278,9.680723369,10.1951227,11.35169658
71,-0.3521,8.8036,0.0825,7.569186307,7.935553989,8.092331236,8.331582634,8.8036,9.312508374,9.602083039,9.805141964,10.32662835,11.49925195
71.5,-0.3521,8.9135,0.08257,7.66271985,8.033922847,8.192775061,8.435199577,8.9135,9.42921543,9.722678188,9.928469823,10.45699733,11.64557055
72,-0.3521,9.0221,0.08264,7.755112529,8.131103036,8.292009913,8.537576727,9.0221,9.544558432,9.841873223,10.05037245,10.58587718,11.79025942
72.5,-0.3521,9.1292,0.08272,7.846052969,8.226812993,8.389767834,8.638467863,9.1292,9.65839204,9.959556076,10.17076202,10.71324574,11.9334612
73,-0.3521,9.2347,0.08278,7.93587544,8.321267876,8.486210446,8.737949993,9.2347,9.770410876,10.07529797,10.28912046,10.8383454,12.07382806
73.5,-0.3521,9.339,0.08285,8.024504446,8.414523553,8.581452393,8.836230362,9.339,9.881237269,10.18985427,10.40629919,10.96228442,12.21309737
74,-0.3521,9.442,0.08292,8.111994369,8.506591851,8.675486435,8.933271661,9.442,9.990698778,10.30300913,10.522051,11.08473167,12.35073198
74.5,-0.3521,9.5438,0.08298,8.1985777,8.597669369,8.768492909,9.029228393,9.5438,10.09883153,10.41476005,10.63634533,11.20558091,12.4864374
75,-0.3521,9.644,0.08303,8.283915802,8.687399391,8.860107331,9.123724175,9.644,10.20520987,10.52466665,10.74873145,11.32435471,12.61967533
75.5,-0.3521,9.7425,0.08308,8.367778528,8.775587029,8.950150782,9.216605466,9.7425,10.30979653,10.63272965,10.85923764,11.44115568,12.75073338
76,-0.3521,9.8392,0.08312,8.450231027,8.862251965,9.038622558,9.307839391,9.8392,10.41241385,10.73872481,10.96760602,11.55563577,12.87904196
76.5,-0.3521,9.9341,0.08315,8.531278031,8.947397645,9.125525525,9.397427894,9.9341,10.51305956,10.84264848,11.07383194,11.66778763,13.00458696
77,-0.3521,10.0274,0.08317,8.611095866,9.031207533,9.211046169,9.485562046,10.0274,10.61194313,10.94471544,11.17813385,11.77783908,13.12761668
77.5,-0.3521,10.1194,0.08318,8.689946564,9.11395503,9.295462733,9.572527443,10.1194,10.70937992,11.04524974,11.28084188,11.8861357,13.24851088
78,-0.3521,10.2105,0.08317,8.768334198,9.19611709,9.379239575,9.658768103,10.2105,10.80571686,11.14456559,11.38224622,11.99290204,13.36732654
78.5,-0.3521,10.3012,0.08315,8.846538817,9.278035516,9.462745849,9.744695968,10.3012,10.90155416,11.24332255,11.48304905,12.0989535,13.48515228
79,-0.3521,10.3923,0.08311,8.925410747,9.360549509,9.546814995,9.831134554,10.3923,10.99766078,11.34226939,11.58398391,12.20498043,13.60256123
79.5,-0.3521,10.4845,0.08305,9.005559782,9.444295802,9.63209523,9.918749552,10.4845,11.09477346,11.44216366,11.68582288,12.31179211,13.72044545
80,-0.3521,10.5781,0.08298,9.087090548,9.529433386,9.71876976,10.0077622,10.5781,11.19328253,11.54344949,11.78904886,12.4199748,13.83964285
80.5,-0.3521,10.6737,0.0829,9.170523385,9.616506329,9.807392784,10.09874213,10.6737,11.2938206,11.646778,11.89432592,12.53022574,13.96092489
81,-0.3521,10.7718,0.08279,9.256623266,9.706208752,9.898626057,10.19229938,10.7718,11.39675744,11.75243966,12.00188672,12.642621,14.08397437
81.5,-0.3521,10.8728,0.08268,9.345249267,9.798548917,9.992544664,10.28861441,10.8728,11.50274668,11.86124002,12.11264655,12.75836959,14.21072097
82,-0.3521,10.9772,0.08255,9.437169287,9.894223046,10.08981209,10.38829841,10.9772,11.61215678,11.97346743,12.22683541,12.87754346,14.34083993
82.5,-0.3521,11.0851,0.08241,9.532311281,9.99320643,10.19042488,10.49138143,11.0851,11.72516869,12.08935146,12.34471797,13.00050136,14.47492133
83,-0.3521,11.1966,0.08225,9.630940456,10.09571933,10.29458296,10.59803121,11.1966,11.84180335,12.2088653,12.46623281,13.12708876,14.61257995
83.5,-0.3521,11.3114,0.08209,9.732464792,10.20124864,10.40180905,10.70782741,11.3114,11.96190202,12.33193577,12.59136896,13.2574625,14.75439081
84,-0.3521,11.429,0.08191,9.836807399,10.30959995,10.51185633,10.82044083,11.429,12.0847686,12.45774985,12.71922911,13.39050049,14.89868428
84.5,-0.3521,11.549,0.08174,9.943105291,10.42003577,10.62404414,10.93528111,11.549,12.21022602,12.58626523,12.84986883,13.52652202,15.04643509
85,-0.3521,11.6707,0.08156,10.0511105,10.53218204,10.73794233,11.0518301,11.6707,12.33736626,12.71645018,12.98216736,13.66416937,15.19571057
85.5,-0.3521,11.7937,0.08138,10.1603044,10.64555133,10.85307789,11.16963796,11.7937,12.46584898,12.84800099,13.11584779,13.8032386,15.34649188
86,-0.3521,11.9173,0.08121,10.26990156,10.75937943,10.96869678,11.28796741,11.9173,12.59502052,12.98029306,13.2503071,13.94318633,15.49839118
86.5,-0.3521,12.0411,0.08105,10.37955176,10.87330125,11.08442757,11.40643737,12.0411,12.7244606,13.11289467,13.38510554,14.0835523,15.65090255
87,-0.3521,12.1645,0.0809,10.48873192,10.98677075,11.19971443,11.52447712,12.1645,12.85353783,13.24515664,13.51958148,14.22364306,15.80326147
87.5,-0.3521,12.2871,0.08076,10.59709091,11.09942218,11.31418538,11.6417052,12.2871,12.98183239,13.37664794,13.65329608,14.36299977,15.9549647
88,-0.3521,12.4089,0.08064,10.70443126,11.21111234,11.42772158,11.75804125,12.4089,13.10943732,13.50751741,13.78643849,14.5019196,16.10657461
88.5,-0.3521,12.5298,0.08054,10.81065469,11.32174223,11.54022379,11.87338571,12.5298,13.23625244,13.63766489,13.91890864,14.64030284,16.25799315
89,-0.3521,12.6495,0.08045,10.91568537,11.43117357,11.65152593,11.98752886,12.6495,13.36187439,13.76662551,14.05019738,14.77752245,16.40830711
89.5,-0.3521,12.7683,0.08038,11.01957929,11.53953034,11.76178224,12.10067245,12.7683,13.4867156,13.89487859,14.18083218,14.91423402,16.55848282
90,-0.3521,12.8864,0.08032,11.12269625,11.64712909,11.87128967,12.21308224,12.8864,13.61089901,14.02250047,14.3108555,15.05038881,16.70824492
90.5,-0.3521,13.0038,0.08028,11.22483003,11.75382031,11.97992413,12.32467434,13.0038,13.73452171,14.14964645,14.44046473,15.18629687,16.8581799
91,-0.3521,13.1209,0.08025,11.32651711,11.8601042,12.08816922,12.4359057,13.1209,13.85791604,14.27660756,14.56992076,15.32213729,17.00826106
91.5,-0.3521,13.2376,0.08024,11.42746158,11.96573841,12.19580671,12.54659627,13.2376,13.98107508,14.40343288,14.69931319,15.45810849,17.15895507
92,-0.3521,13.3541,0.08025,11.52782524,12.07089586,12.30301432,12.65693118,13.3541,14.10421515,14.53034815,14.82887445,15.59446026,17.3105518
92.5,-0.3521,13.4705,0.08027,11.62789133,12.17580973,12.41000269,12.76708536,13.4705,14.22734912,14.65731382,14.95852702,15.73101313,17.46262041
93,-0.3521,13.587,0.08031,11.7276177,12.28050504,12.51682679,12.87716093,13.587,14.35078945,14.78470944,15.08869879,15.86832403,17.61603216
93.5,-0.3521,13.7041,0.08036,11.82763642,12.38557907,12.62406789,12.98771335,13.7041,14.47496984,14.91292806,15.21975313,16.00667546,17.77086505
94,-0.3521,13.8217,0.08043,11.92764273,12.490783,12.73150235,13.0985589,13.8217,14.59988769,15.04202572,15.35178847,16.14627985,17.92761277
94.5,-0.3521,13.9403,0.08051,12.028272,12.59671651,12.83971341,13.21025437,13.9403,14.72597515,15.172393,15.48516505,16.28741479,18.08634409
95,-0.3521,14.06,0.0806,12.12960478,12.70346577,12.94878968,13.32289216,14.06,14.85334066,15.30414323,15.61999967,16.43020619,18.24720621
95.5,-0.3521,14.1811,0.08071,12.23167562,12.81113913,13.05887241,13.43666517,14.1811,14.98240704,15.43777243,15.75684106,16.57534331,18.41123021
96,-0.3521,14.3037,0.08083,12.3347794,12.91997821,13.1701792,13.55175303,14.3037,15.1131817,15.57323232,15.89560061,16.72262931,18.57795247
96.5,-0.3521,14.4282,0.08097,12.43903266,13.03017854,13.28294077,13.66844164,14.4282,15.24619527,15.71113126,16.03694262,16.87287743,18.74854777
97,-0.3521,14.5547,0.08112,12.54473324,13.1419839,13.3973765,13.78691182,14.5547,15.38145374,15.85141867,16.18077558,17.02588625,18.92254374
97.5,-0.3521,14.6832,0.08129,12.6516484,13.25522531,13.51334613,13.90706865,14.6832,15.51906731,15.99427098,16.32732383,17.1820087,19.10061006
98,-0.3521,14.814,0.08146,12.76047912,13.37049465,13.63139221,14.02937652,14.814,15.65914414,16.13968066,16.47649596,17.34092775,19.2818713
