Height,L,M,S,C3,C10,C15,C25,C50,C75,C85,C90,C97,C99.9
65,-0.3833,7.2402,0.09113,6.13277378,6.458515831,6.598670301,6.813428721,7.2402,7.704855632,7.971327974,8.159079364,8.644601579,9.753745332
65.5,-0.3833,7.3523,0.09109,6.228167164,6.558834826,6.701105599,6.919103399,7.3523,7.823933713,8.094399844,8.284961757,8.77773911,9.903390212
66,-0.3833,7.463,0.09104,6.322499556,6.657996356,6.802341074,7.023512381,7.463,7.941460588,8.21583153,8.409140302,8.909004541,10.05075986
66.5,-0.3833,7.5724,0.09099,6.415747139,6.75601019,6.902401689,7.126704754,7.5724,8.057596043,8.335819082,8.531837453,9.03869177,10.19632782
67,-0.3833,7.6806,0.09094,6.507994355,6.85296534,7.001378423,7.228774515,7.6806,8.172446626,8.45447281,8.65316617,9.166920622,10.34022965
67.5,-0.3833,7.7874,0.09088,6.599187943,6.948768398,7.099159803,7.329581614,7.7874,8.285742437,8.571480623,8.772783735,9.293265812,10.481834
68,-0.3833,7.893,0.09083,6.689265713,7.043428276,7.195786912,7.429218221,7.893,8.397810114,8.687245986,8.891149542,9.418338082,10.62213219
68.5,-0.3833,7.9976,0.09077,6.778631445,7.137294896,7.291584905,7.527969728,7.9976,8.508747354,8.801803681,9.00825223,9.541999958,10.76066347
69,-0.3833,8.1012,0.09071,6.867168389,7.230282818,7.386482607,7.625787723,8.1012,8.618611523,8.91524609,9.124209754,9.664438924,10.89779172
69.5,-0.3833,8.2039,0.09065,6.954961058,7.322481102,7.480571036,7.722766228,8.2039,8.727509134,9.027683468,9.23913501,9.785774701,11.03365228
70,-0.3833,8.3058,0.09059,7.042093997,7.413978835,7.573941237,7.818999283,8.3058,8.835546688,9.139226043,9.353140856,9.906126954,11.16838039
70.5,-0.3833,8.4071,0.09053,7.128736584,7.5049544,7.666775466,7.914675085,8.4071,8.942937036,9.250094041,9.466452712,10.02573454,11.30224564
71,-0.3833,8.5078,0.09047,7.214888661,7.595407682,7.759073627,8.009793568,8.5078,9.04968026,9.360287594,9.579070745,10.14459773,11.43524854
71.5,-0.3833,8.6078,0.09041,7.300465258,7.685249281,7.850744417,8.104260515,8.6078,9.155670074,9.469696816,9.690882538,10.26259756,11.56725523
72,-0.3833,8.707,0.09035,7.385381369,7.774389773,7.941696512,8.197981695,8.707,9.260800211,9.578211853,9.801775713,10.37961513,11.69813198
72.5,-0.3833,8.8053,0.09028,7.469683855,7.862836192,8.03191893,8.290917506,8.8053,9.364899748,9.68561876,9.911505006,10.49532047,11.82733589
73,-0.3833,8.9025,0.09022,7.55294047,7.950217861,8.121069249,8.382770842,8.9025,9.46788474,9.791904844,10.02010994,10.60989558,11.95541328
