Length,L,M,S,P3,P10,P15,P25,P50,P75,P85,P90,P97,P99.9
45,-0.3521,2.441,0.09182,2.064235931,2.17517285,2.222876591,2.295938584,2.441,2.59873468,2.689093174,2.752713267,2.917058387,3.291514834
45.5,-0.3521,2.5244,0.09153,2.135861291,2.25029347,2.299492793,2.37483695,2.5244,2.686986563,2.780104945,2.845659924,3.0149723,3.400586954
46,-0.3521,2.6077,0.09124,2.207475339,2.325378371,2.376062333,2.453671381,2.6077,2.775096673,2.870949864,2.938421585,3.112652555,3.509305418
46.5,-0.3521,2.6913,0.09094,2.27945724,2.400813875,2.452974339,2.532835001,2.6913,2.863470939,2.962036559,3.031408483,3.210512419,3.618084746
47,-0.3521,2.7755,0.09065,2.351982101,2.476809847,2.530454151,2.612577457,2.7755,2.952467183,3.053757365,3.125037845,3.309035629,3.727571566
47.5,-0.3521,2.8609,0.09036,2.425598645,2.553931144,2.609073294,2.693480171,2.8609,3.042704034,3.146740871,3.219944969,3.408873692,3.838448538
48,-0.3521,2.948,0.09007,2.50073266,2.632625464,2.68928887,2.776014634,2.948,3.134712409,3.241535668,3.316690875,3.510619679,3.951381489
48.5,-0.3521,3.0377,0.08977,2.578196069,2.713731902,2.771951335,2.861048329,3.0377,3.229425791,3.339093576,3.416239936,3.615269054,4.067429906
49,-0.3521,3.1308,0.08948,2.658581581,2.797902111,2.857738234,2.949299087,3.1308,3.327736704,3.440361558,3.519578055,3.723910581,4.187928568
49.5,-0.3521,3.2276,0.08919,2.742193011,2.885440005,2.946953205,3.041069756,3.2276,3.4299402,3.545630993,3.626993669,3.836823784,4.313129938
50,-0.3521,3.3278,0.0889,2.828780289,2.976080883,3.039325237,3.136079635,3.3278,3.535715194,3.654568676,3.738145021,3.953644747,4.44261929
50.5,-0.3521,3.4311,0.08861,2.918092827,3.06955966,3.134582996,3.23404781,3.4311,3.644740858,3.766841812,3.85269088,4.074010391,4.575983527
51,-0.3521,3.5376,0.08831,3.010273375,3.166007872,3.232852834,3.335092282,3.5376,3.757095555,3.882515445,3.970686516,4.19794929,4.71318298
51.5,-0.3521,3.6477,0.08801,3.105616703,3.265750195,3.334472571,3.439571322,3.6477,3.873226293,4.002064245,4.09262639,4.32600819,4.854889488
52,-0.3521,3.762,0.08771,3.204638926,3.369327631,3.439993861,3.548052843,3.762,3.993767684,4.126142531,4.219178644,4.45889075,5.001886665
52.5,-0.3521,3.8814,0.08741,3.30811295,3.477550767,3.550243425,3.661388201,3.8814,4.119672234,4.255732714,4.351346672,4.597654295,5.155353363
53,-0.3521,4.006,0.08711,3.41613112,3.59051436,3.665317016,3.779674626,4.006,4.251042727,4.390939069,4.489235754,4.742406554,5.315402099
53.5,-0.3521,4.1354,0.08681,3.52835937,3.707864998,3.784852884,3.902537578,4.1354,4.387451384,4.531317864,4.632390913,4.89266343,5.481482148
54,-0.3521,4.2693,0.08651,3.644548285,3.829338436,3.908580392,4.029696606,4.2693,4.528576854,4.676535474,4.780469864,5.048060217,5.653177429
54.5,-0.3521,4.4066,0.08621,3.763764612,3.953952214,4.035495945,4.160115787,4.4066,4.673249638,4.825382674,4.932235444,5.207287712,5.829015303
55,-0.3521,4.5467,0.08592,3.885431248,4.081120869,4.165010914,4.29320212,4.5467,4.820864545,4.977252383,5.087079704,5.369737421,6.008394669
55.5,-0.3521,4.6892,0.08563,4.009274858,4.210535228,4.296800329,4.428606008,4.6892,4.970964601,5.131654017,5.244487985,5.534830981,6.19058435
56,-0.3521,4.8338,0.08535,4.134968509,4.341874615,4.430546649,4.566015206,4.8338,5.123265612,5.288313558,5.404193902,5.702323477,6.375397195
56.5,-0.3521,4.9796,0.08507,4.261813886,4.474382712,4.565468245,4.704608914,4.9796,5.27677941,5.446191411,5.565121271,5.871042771,6.561435252
57,-0.3521,5.1259,0.08481,4.389056932,4.607317763,4.700829608,4.843662264,5.1259,5.430838417,5.604640979,5.726639281,6.040402585,6.748232655
57.5,-0.3521,5.2721,0.08455,4.516331585,4.740247945,4.836169812,4.982668828,5.2721,5.584736246,5.762892859,5.887933283,6.209468168,6.934564712
58,-0.3521,5.418,0.0843,4.643383712,4.872933184,4.971255326,5.121405654,5.418,5.738300647,5.920791946,6.048860773,6.378131501,7.120411789
58.5,-0.3521,5.5632,0.08406,4.769863286,5.005008484,5.105714782,5.259491697,5.5632,5.89111139,6.077906589,6.208982129,6.545932638,7.305268949
59,-0.3521,5.7074,0.08383,4.895505508,5.136198443,5.239268285,5.396640245,5.7074,6.042854374,6.233914766,6.367969817,6.712530047,7.488763971
59.5,-0.3521,5.8501,0.08362,5.019784154,5.265982345,5.371398071,5.53233872,5.8501,6.193046553,6.388344607,6.525360449,6.877484511,7.670524098
60,-0.3521,5.9907,0.08342,5.14226113,5.393875923,5.501599623,5.66605114,5.9907,6.341016094,6.540482133,6.680409956,7.039972694,7.849537631
60.5,-0.3521,6.1284,0.08324,5.262147256,5.519084412,5.629076409,5.796978984,6.1284,6.485964933,6.68953197,6.832325522,7.199210831,8.025053718
61,-0.3521,6.2632,0.08308,5.379427301,5.641596785,5.753819285,5.925116074,6.2632,6.627900191,6.835505499,6.981121601,7.355221581,8.197115043
61.5,-0.3521,6.3954,0.08292,5.494540223,5.761815031,5.876213296,6.050820333,6.3954,6.767053057,6.978591888,7.126956681,7.508080166,8.36558688
62,-0.3521,6.5251,0.08279,5.607270138,5.879609975,5.996168225,6.174063082,6.5251,6.903672738,7.119129956,7.270234412,7.658364088,8.531474886
