Length,L,M,S,P3,P10,P15,P25,P50,P75,P85,P90,P97,P99.9
45,-0.3833,2.4607,0.09029,2.087416271,2.197295219,2.244551028,2.316937099,2.4607,2.617101968,2.706740064,2.769873535,2.933046532,3.305342523
45.5,-0.3833,2.5457,0.09033,2.159369396,2.273084847,2.321991659,2.396907902,2.5457,2.707579358,2.800359443,2.865707039,3.034606993,3.419992371
46,-0.3833,2.6306,0.09037,2.231227534,2.348777746,2.399334881,2.476780335,2.6306,2.797955384,2.893876863,2.961438243,3.136064574,3.534539561
46.5,-0.3833,2.7155,0.0904,2.30311618,2.42449296,2.476696689,2.556665405,2.7155,2.888316455,2.987370206,3.057138713,3.237473338,3.648992138
47,-0.3833,2.8007,0.09044,2.375209695,2.500439757,2.554301906,2.636812384,2.8007,2.979020942,3.081232749,3.153226927,3.339319209,3.764001899
47.5,-0.3833,2.8867,0.09048,2.447971434,2.577093294,2.632630498,2.717708303,2.8867,3.070581399,3.175983531,3.25022619,3.442135391,3.880118773
48,-0.3833,2.9741,0.09052,2.521910029,2.654989087,2.712229548,2.799917963,2.9741,3.163636134,3.272282823,3.348812243,3.546637621,3.99814981
48.5,-0.3833,3.0636,0.09056,2.597618758,2.734751816,2.793737243,2.884100246,3.0636,3.258929902,3.370901039,3.449773579,3.653661128,4.119036955
49,-0.3833,3.156,0.0906,2.675775516,2.817095297,2.877882854,2.971008103,3.156,3.357313918,3.472718762,3.554011469,3.764160679,4.243857149
49.5,-0.3833,3.252,0.09064,2.756973227,2.902643951,2.965304353,3.06130027,3.252,3.45953311,3.578506685,3.66231476,3.878972069,4.373553436
50,-0.3833,3.3518,0.09068,2.841380791,2.991575811,3.056183706,3.155164747,3.3518,3.565800565,3.68848541,3.774909354,3.998334917,4.508396853
50.5,-0.3833,3.4557,0.09072,2.929251824,3.084158124,3.15079403,3.252883642,3.4557,3.676435781,3.802985627,3.892133829,4.122608217,4.648793109
51,-0.3833,3.5636,0.09076,3.020500831,3.180301108,3.249043701,3.354362524,3.5636,3.79133273,3.921897863,4.013876294,4.251673844,4.794609962
51.5,-0.3833,3.6754,0.0908,3.115042343,3.279914998,3.350841115,3.459506968,3.6754,3.910385371,4.045112629,4.140024834,4.385413638,4.945715098
52,-0.3833,3.7911,0.09085,3.212818949,3.382957782,3.456151271,3.568293169,3.7911,4.033621909,4.172675346,4.270637444,4.523919772,5.10228739
52.5,-0.3833,3.9105,0.09089,3.313772112,3.489332186,3.564859479,3.680578886,3.9105,4.160775047,4.304278115,4.405376762,4.666775482,5.263712068
53,-0.3833,4.0332,0.09093,3.417507244,3.598640585,3.676567185,3.795964574,4.0332,4.291446509,4.439524658,4.543848349,4.813592702,5.429623979
53.5,-0.3833,4.1591,0.09098,3.523876829,3.710747805,3.791144951,3.914330076,4.1591,4.42556075,4.578354596,4.686003001,4.964352949,5.600084292
54,-0.3833,4.2875,0.09102,3.632409721,3.82511855,3.908029052,4.03506716,4.2875,4.562312996,4.71990086,4.830928808,5.118024824,5.773770308
54.5,-0.3833,4.4179,0.09106,3.742621577,3.941262289,4.026726711,4.157680075,4.4179,4.701201049,4.863661094,4.978123777,5.274109035,5.950198067
55,-0.3833,4.5498,0.0911,3.854088496,4.058732729,4.146782,4.281698135,4.5498,4.841693008,5.009085108,5.127024838,5.432009213,6.128695189
55.5,-0.3833,4.6827,0.09114,3.966386696,4.177083659,4.267739062,4.406650704,4.6827,4.983256912,5.155622622,5.2770688,5.591128796,6.308588923
56,-0.3833,4.8162,0.09118,4.079177212,4.295958159,4.38923325,4.532161299,4.8162,5.125467166,5.302833362,5.427805051,5.75099044,6.489340883
56.5,-0.3833,4.95,0.09121,4.192279848,4.415142725,4.511036225,4.65797827,4.95,5.267968159,5.450328474,5.578820738,5.911117063,6.670316044
57,-0.3833,5.0837,0.09125,4.305209838,4.534173708,4.632694424,4.783664644,5.0837,5.410406006,5.597783188,5.729812743,6.071265819,6.851431393
57.5,-0.3833,5.2173,0.09128,4.418117157,4.653160893,4.75429931,4.909282645,5.2173,5.552706934,5.745078679,5.880629329,6.231195457,7.032218416
58,-0.3833,5.3507,0.0913,4.530923112,4.77201948,4.875763414,5.034740665,5.3507,5.694761558,5.892100067,6.031151692,6.390776853,7.212523463
58.5,-0.3833,5.4834,0.09132,4.64312837,4.890247955,4.996584805,5.159536721,5.4834,5.836075085,6.038356933,6.180893089,6.549534993,7.391909844
59,-0.3833,5.6151,0.09134,4.754478973,5.007578822,5.116490158,5.283388562,5.6151,5.976328184,6.183518858,6.32951529,6.707111435,7.569972922
59.5,-0.3833,5.7454,0.09135,4.864722173,5.123718275,5.235167415,5.405955482,5.7454,6.11505283,6.327077225,6.476480399,6.862890047,7.745904709
60,-0.3833,5.8742,0.09136,4.973691429,5.238517204,5.352475522,5.527109417,5.8742,6.252182874,6.468986798,6.621758559,7.016883142,7.919826325
60.5,-0.3833,6.0014,0.09137,5.081302142,5.351886479,5.468323403,5.646756305,6.0014,6.387611845,6.609137397,6.765236974,7.168971156,8.091602732
61,-0.3833,6.127,0.09137,5.18764592,5.463893168,5.582766936,5.764934162,6.127,6.521294661,6.747456399,6.906822898,7.31900661,8.260947435
